Select Template,Select Template 
RecipientAddress,RecipientAddress
Delivery Date,DeliveryDate
CustomMessage,CustomMessage
RecipientEmail,RecipientEmail
RecipientName,RecipientName
SenderName,SenderName
Send To Someone,Send To Someone
Giftcards only used for purchase in store only,Giftcards only used for purchase in store only
Value,Value
Giftcard Code,Giftcard Code
To,To
From,From
Price,Price
Value,Value
Enter your Giftcard code if you have one,Enter your Giftcard code if you have one
Giftcard Codes,Giftcard Codes
Redeem Amount,Redeem Amount
Apply Code,Apply Code
Cancel Code,Cancel Code
Code,Code
Redeem Code,Redeem Code
You have not purchased any Giftcard products yet.,You have not purchased any Giftcard products yet.
My Gift Card Products,My Gift Card Products
View,View
Status,Status
Expire Date,Expire Date
Added Date,Added Date
Balance,Balance
Giftcard Value,Giftcard Value
Gift Card Transactions,Gift Card Transactions
Giftcard Name,Giftcard Name
Comment,Comment
Status,Status
Transaction Date,Transaction Date
Amount Used,Amount Used
Giftcard Balance,Giftcard Balance
Order ID,Order ID
Sharing Mail ID,Sharing Mail ID
Share Giftcard,Share Giftcard
